dcs_rnd1_038|Din prima până în ultima secundă, convorbirea telefonică e o beșteleală de cartier aplicată cu toată impetuozitatea sărmanului cetățean|Din prima până în ultima secundă, convorbirea telefonică e o beșteleală de cartier aplicată cu toată impetuozitatea sărmanului cetățean
dcs_rnd1_039|În localitate există șase polițiști, dintre care unul este în concediu și unul are mâna ruptă|În localitate există șase polițiști, dintre care unul este în concediu și unul are mâna ruptă
dcs_rnd1_040|Încă de la prima accesare m-a atras foarte mult|Încă de la prima accesare m-a atras foarte mult
dcs_rnd1_041|Cât durează până câștigă, nu poate spune|Cât durează până câștigă, nu poate spune
dcs_rnd1_042|Dacă și pe data de treizeci septembrie se întârzie cu primirea avansului, pe doi octombrie la ora șapte|Dacă și pe data de treizeci septembrie se întârzie cu primirea avansului, pe doi octombrie la ora șapte
dcs_rnd1_043|Copiii care țineau în brațe bărcuțe cu telecomandă au înconjurat fântâna speranței, gata de cursă|Copiii care țineau în brațe bărcuțe cu telecomandă au înconjurat fântâna speranței, gata de cursă
dcs_rnd1_044|În blocul șase, două scări, adică aproximativ treizeci de apartamente, erau terminate când au venit actele de la primărie|În blocul șase, două scări, adică aproximativ treizeci de apartamente, erau terminate când au venit actele de la primărie
dcs_rnd1_045|A fost testat alcooltest, rezultatul fiind negativ|A fost testat alcooltest, rezultatul fiind negativ
dcs_rnd1_046|Până la urmă rămâi oricum doar cu amintirile plăcute, oboseala trece cu un somn bun|Până la urmă rămâi oricum doar cu amintirile plăcute, oboseala trece cu un somn bun
dcs_rnd1_047|De atunci, am învățat foarte multe persoane să danseze pe diferite ritmuri|De atunci, am învățat foarte multe persoane să danseze pe diferite ritmuri
dcs_rnd1_048|După ce i-au administrat îngrijirile de urgență, medicii l-au dus la reanimare, unde se află sub supraveghere de specialitate|După ce i-au administrat îngrijirile de urgență, medicii l-au dus la reanimare, unde se află sub supraveghere de specialitate
dcs_rnd1_049|Viorica Crișan, directorul muzeului, stă zilnic peste program la serviciu|Viorica Crișan, directorul muzeului, stă zilnic peste program la serviciu
dcs_rnd1_050|Eșecul statului federal în fața cicloanelor rămâne unul din cele mai profunde stigmate ale președinției lui George|Eșecul statului federal în fața cicloanelor rămâne unul din cele mai profunde stigmate ale președinției lui George
dcs_rnd1_051|Cel mai mare succes la vânzări l-a avut imediat după debut|Cel mai mare succes la vânzări l-a avut imediat după debut
dcs_rnd1_052|Parfumul reflectă atitudinea și stilul unic al unei femei, a spus cântăreața|Parfumul reflectă atitudinea și stilul unic al unei femei, a spus cântăreața
dcs_rnd1_053|Responsabil pentru această stare de lucruri, este consumul prea mare de alcool și fumatul excesiv|Responsabil pentru această stare de lucruri, este consumul prea mare de alcool și fumatul excesiv
dcs_rnd1_054|Carlton de Brug este situat la aproximativ cinsprezece kilometri de aeroportul din oraș|Carlton de Brug este situat la aproximativ cinsprezece kilometri de aeroportul din oraș
dcs_rnd1_055|Ar trebui să mai angajeze preoți|Ar trebui să mai angajeze preoți
dcs_rnd1_056|Băimărenii vor putea cumpăra produse chiar și cu cinci lei|Băimărenii vor putea cumpăra produse chiar și cu cinci lei
dcs_rnd1_057|Familie: căsătorit, are doi copii și doi nepoți|Familie: căsătorit, are doi copii și doi nepoți
dcs_rnd1_058|Mi-au plăcut oamenii și mereu am avut încredere în oameni|Mi-au plăcut oamenii și mereu am avut încredere în oameni
dcs_rnd1_059|A uitat că nu mai este propagandist de partid, ci reprezentant al statului român|A uitat că nu mai este propagandist de partid, ci reprezentant al statului român
dcs_rnd1_060|Această activitate este considerată comerț ilicit de produse care atrage de la sine sancțiuni date de polițiștii comunitari|Această activitate este considerată comerț ilicit de produse care atrage de la sine sancțiuni date de polițiștii comunitari
dcs_rnd1_061|Doar în primele zile inspectorii au confiscat aproape jumătate de kilogram de aur nemarcat de la bijuteriile din Timișoara|Doar în primele zile inspectorii au confiscat aproape jumătate de kilogram de aur nemarcat de la bijuteriile din Timișoara
dcs_rnd1_062|Ei au făcut recurs și au solicitat judecătorilor curții de apel Timișoara să fie eliberați|Ei au făcut recurs și au solicitat judecătorilor curții de apel Timișoara să fie eliberați
dcs_rnd1_063|Și polițiștii se vor alătura colegilor lor, care vor protesta în fața Palatului Parlamentului|Și polițiștii se vor alătura colegilor lor, care vor protesta în fața Palatului Parlamentului
dcs_rnd1_064|Artiștii armâni, îmbrăcați în costume populare tradiționale au susținut și un spectacol cu melodii tradiționale populare din zona Moscolope|Artiștii armâni, îmbrăcați în costume populare tradiționale au susținut și un spectacol cu melodii tradiționale populare din zona Moscolope
dcs_rnd1_065|Deocamdată lista este deschisă spune Magda Georgescu, purtător de cuvânt al a je o fe me Maramureș|Deocamdată lista este deschisă spune Magda Georgescu, purtător de cuvânt al a je o fe me Maramureș
dcs_rnd1_066|Cu doi ani în urmă, a fost demarată racordarea Severinului la rețeaua de gaze|Cu doi ani în urmă, a fost demarată racordarea Severinului la rețeaua de gaze
dcs_rnd1_067|Studenții care învață la Universitatea Constantin Brâncoveanu se confruntă cu o problemă deosebit de gravă|Studenții care învață la Universitatea Constantin Brâncoveanu se confruntă cu o problemă deosebit de gravă
dcs_rnd1_068|Nu este o lege care să-i interzică, dar e un statut care nici nu este aprobat cel puțin|Nu este o lege care să-i interzică, dar e un statut care nici nu este aprobat cel puțin
dcs_rnd1_069|Explicația cu necorelarea vitezelor este una simplistă|Explicația cu necorelarea vitezelor este una simplistă
dcs_rnd1_070|Noile căpetenii de la București erau nerăbdătoare să ia lumină de la Moscova|Noile căpetenii de la București erau nerăbdătoare să ia lumină de la Moscova
dcs_rnd1_071|Alexandru Oancea a trăit douăzeci de ani la Galați, unde a și deprins pasiunea pentru ambarcațiuni|Alexandru Oancea a trăit douăzeci de ani la Galați, unde a și deprins pasiunea pentru ambarcațiuni
dcs_rnd1_072|A traversat strada, moment în care șase persoane s-au năpustit asupra ei|A traversat strada, moment în care șase persoane s-au năpustit asupra ei
dcs_rnd1_073|Este foarte bine pentru Pandurii că vom merge cu un moral bun la jocul cu Steaua|Este foarte bine pentru Pandurii că vom merge cu un moral bun la jocul cu Steaua
dcs_rnd1_074|Știu chiar înainte de a trece printr-un control medical de specialitate cum vor să nască|Știu chiar înainte de a trece printr-un control medical de specialitate cum vor să nască
dcs_rnd1_075|Honda a intrat în formula unu în două mii cinci, când a cumpărat echipa Bar|Honda a intrat în formula unu în două mii cinci, când a cumpărat echipa Bar
dcs_rnd1_076|Acesta ar urma să devină operațional la începutul lui două mii unsprezece, potrivit Agerpres|Acesta ar urma să devină operațional la începutul lui două mii unsprezece, potrivit Agerpres
dcs_rnd1_077|Ea nu e microbistă, dar cunoaște opțiunea mea și mă înțelege|Ea nu e microbistă, dar cunoaște opțiunea mea și mă înțelege
dcs_rnd1_078|Nu suntem îndreptățiți să mai luăm și alte măsuri|Nu suntem îndreptățiți să mai luăm și alte măsuri
dcs_rnd1_079|Eu primesc de la medicii de familie rapoarte zilnice, în care spun că toți suspecții sunt monitorizați|Eu primesc de la medicii de familie rapoarte zilnice, în care spun că toți suspecții sunt monitorizați
dcs_rnd1_080|Grigore Anca patruzeci de ani din comuna Plopșoru, și-a ucis vecina și a târât-o până la poarta altui localnic|Grigore Anca patruzeci de ani din comuna Plopșoru, și-a ucis vecina și a târât-o până la poarta altui localnic
dcs_rnd1_081|Nu-mi dau seama cum va fi organizat traficul dacă se construiește podul|Nu-mi dau seama cum va fi organizat traficul dacă se construiește podul
dcs_rnd1_082|Poliția rutieră a amplasat, astăzi, radare pe de ne șase|Poliția rutieră a amplasat, astăzi, radare pe de ne șase
dcs_rnd1_083|Îmi plac cartofii prăjiți foarte mult, a spus Gabriel Safta|Îmi plac cartofii prăjiți foarte mult, a spus Gabriel Safta
dcs_rnd1_084|M-au pândit până au oprit mașinile la semafor, apoi au venit spre mine trei bărbați și trei femei|M-au pândit până au oprit mașinile la semafor, apoi au venit spre mine trei bărbați și trei femei
dcs_rnd1_085|Consecințele ar fi catastrofale pentru sportul francez, a spus Michel Brun, vicepreședintele ce ne o se fe|Consecințele ar fi catastrofale pentru sportul francez, a spus Michel Brun, vicepreședintele ce ne o se fe
dcs_rnd1_086|După primele cercetări se pare că șoferul autoturismului Fiat Punto a pierdut controlul volanului|După primele cercetări se pare că șoferul autoturismului Fiat Punto a pierdut controlul volanului
dcs_rnd1_087|Zilnic traficul rutier, de pe cele mai mari străzi ale orașului, este îngreunat de căruțași|Zilnic traficul rutier, de pe cele mai mari străzi ale orașului, este îngreunat de căruțași
dcs_rnd1_088|Și așa procesele durează mult, acum vor dura și mai mult, precizează Mintaș|Și așa procesele durează mult, acum vor dura și mai mult, precizează Mintaș
dcs_rnd1_089|Folk-ul ține de starea de spirit a fiecăruia dintre noi|Folk-ul ține de starea de spirit a fiecăruia dintre noi
dcs_rnd1_090|Acesta este evident visul unei nopți de vară care va rămâne un vis|Acesta este evident visul unei nopți de vară care va rămâne un vis
dcs_rnd1_091|Târgul reunește importatori, producători și comercianți din toată țara și cu produse de toate felurile|Târgul reunește importatori, producători și comercianți din toată țara și cu produse de toate felurile
dcs_rnd1_092|Șaisprezece ani într-o companie multinațională, dintre care doisprezece ani pe poziția de director general, este prea mult|Șaisprezece ani într-o companie multinațională, dintre care doisprezece ani pe poziția de director general, este prea mult
dcs_rnd1_093|Activitățile de aici sunt o relaxare pentru noi|Activitățile de aici sunt o relaxare pentru noi
dcs_rnd1_094|Evoluția prețurilor cerute de către proprietarii care vând în rate a urmat tendința și variațiile pieței|Evoluția prețurilor cerute de către proprietarii care vând în rate a urmat tendința și variațiile pieței
dcs_rnd1_095|S-a făcut beznă în vagon, au căzut bagajele, a declarat pentru Realitatea te ve, unul dintre martori|S-a făcut beznă în vagon, au căzut bagajele, a declarat pentru Realitatea te ve, unul dintre martori
dcs_rnd1_096|Brațul bărbatului a rămas în combină și a fost complet strivit|Brațul bărbatului a rămas în combină și a fost complet strivit
dcs_rnd1_097|Pentru mine pictura este ca o tabletă de inimă, mă relaxează, mă face să mă simt minunat|Pentru mine pictura este ca o tabletă de inimă, mă relaxează, mă face să mă simt minunat
dcs_rnd1_098|Consiliul Județean va demara în curând vânzarea cabinetelor medicale din policlinica Giurgiu|Consiliul Județean va demara în curând vânzarea cabinetelor medicale din policlinica Giurgiu
dcs_rnd1_099|Aceste insule sunt denumite Teritoriile de Nord de japonia și Kurile de Sud de ruși|Aceste insule sunt denumite Teritoriile de Nord de japonia și Kurile de Sud de ruși
dcs_rnd1_100|Ea a fost o mămică tânără și se laudă cu asta|Ea a fost o mămică tânără și se laudă cu asta
dcs_rnd1_101|S-a intrat în tie-break acolo unde argentinianul a condus cu șase la trei|S-a intrat în tie-break acolo unde argentinianul a condus cu șase la trei
dcs_rnd1_102|Și i-am spus clar că așa ceva nu pot accepta|Și i-am spus clar că așa ceva nu pot accepta
dcs_rnd1_103|În opinia a numeroși comentatori, aceasta este cea mai mare nerealizare a coaliției|În opinia a numeroși comentatori, aceasta este cea mai mare nerealizare a coaliției
dcs_rnd1_104|A fost singura finală care s-a decis după trei seturi|A fost singura finală care s-a decis după trei seturi
dcs_rnd1_105|Ele sunt destul de stabile|Ele sunt destul de stabile
dcs_rnd1_106|În București nu cunoșteam pe nimeni, în Portugalia și Germania la fel|În București nu cunoșteam pe nimeni, în Portugalia și Germania la fel
dcs_rnd1_107|Avem dificultăți cu jucătorii de afară|Avem dificultăți cu jucătorii de afară
dcs_rnd1_108|Redacția vă garantează primirea volumelor|Redacția vă garantează primirea volumelor
dcs_rnd1_109|Cele de acum sunt lucruri făcute să se strice a mai spus acesta|Cele de acum sunt lucruri făcute să se strice a mai spus acesta
dcs_rnd1_110|Citește întreaga poveste a lui Pepe Petrina în ediția de astăzi a ziarului Adevărului de seară|Citește întreaga poveste a lui Pepe Petrina în ediția de astăzi a ziarului Adevărului de seară
dcs_rnd1_111|Cauzele nu se cunosc oficial, însă, cel mai probabil, e vorba de faptul că a cedat terasamentul|Cauzele nu se cunosc oficial, însă, cel mai probabil, e vorba de faptul că a cedat terasamentul
dcs_rnd1_112|Cu toate că străzile sunt pline de cerșetori, autoritățile susțin că au rezultate notabile în lupta împotriva cerșetoriei|Cu toate că străzile sunt pline de cerșetori, autoritățile susțin că au rezultate notabile în lupta împotriva cerșetoriei
dcs_rnd1_113|Valoarea bunurilor salvate depășește suma de cincizeci de mii de lei|Valoarea bunurilor salvate depășește suma de cincizeci de mii de lei
dcs_rnd1_114|Voi căuta în tot orașul pentru că nu vreau să-mi știrbesc colecția a spus tânăra|Voi căuta în tot orașul pentru că nu vreau să-mi știrbesc colecția a spus tânăra
dcs_rnd1_115|Optzeci și șase de persoane au fost legitimate, iar unsprezece cetățeni au fost conduși la sediul poliției|Optzeci și șase de persoane au fost legitimate, iar unsprezece cetățeni au fost conduși la sediul poliției
dcs_rnd1_116|Răzvan Cociș a evoluat optzeci și cinci de minute la oaspeți|Răzvan Cociș a evoluat optzeci și cinci de minute la oaspeți
dcs_rnd1_117|Eu lucrez din o mie nouă sute nouăzeci și doi în domeniu, dar nu am mai întâlnit așa ceva|Eu lucrez din o mie nouă sute nouăzeci și doi în domeniu, dar nu am mai întâlnit așa ceva
dcs_rnd1_118|Erorile ne-au costat|Erorile ne-au costat
dcs_rnd1_119|Primele doze ale vaccinului împotriva gripei a hași unu en unu, vor fi disponibile începând de săptămâna viitoare|Primele doze ale vaccinului împotriva gripei a hași unu en unu, vor fi disponibile începând de săptămâna viitoare
dcs_rnd1_120|Până în luna septembrie alte peste treizeci de autorizații au fost eliberate pentru construcțiile rezidențiale din Banat|Până în luna septembrie alte peste treizeci de autorizații au fost eliberate pentru construcțiile rezidențiale din Banat
dcs_rnd1_121|Suntem în grafic cu angajamentele asumate în protocolul semnat cu Ministerul Transportului și ce ne a de ne re la începutul anului|Suntem în grafic cu angajamentele asumate în protocolul semnat cu Ministerul Transportului și ce ne a de ne re la începutul anului
dcs_rnd1_122|Arta înseamnă sacrificiu|Arta înseamnă sacrificiu
dcs_rnd1_123|Oamenii s-au trezit de nenumărate ori cu un cal sau o vacă în fața mașinii|Oamenii s-au trezit de nenumărate ori cu un cal sau o vacă în fața mașinii
dcs_rnd1_124|Valoarea estimată a lucrărilor este de șaisprezece milioane de lei|Valoarea estimată a lucrărilor este de șaisprezece milioane de lei
dcs_rnd1_125|Asta până când tatăl lui s-a îmbolnăvit de cancer|Asta până când tatăl lui s-a îmbolnăvit de cancer
dcs_rnd1_126|Simțeam că o iau razna așa că am mers la un psiholog|Simțeam că o iau razna așa că am mers la un psiholog
dcs_rnd1_127|Georgică Cornu, frații Cristescu sau Romeo Dunca sunt cei care analizează această opțiune|Georgică Cornu, frații Cristescu sau Romeo Dunca sunt cei care analizează această opțiune
dcs_rnd1_128|Îi place pe sticlă și vrea să câștige cât mai mult spațiu|Îi place pe sticlă și vrea să câștige cât mai mult spațiu
dcs_rnd1_129|De asemenea, nevăzătorii vor primi un pliant plastifiat în limbajul Braile și vor beneficia de îndrumări speciale|De asemenea, nevăzătorii vor primi un pliant plastifiat în limbajul Braile și vor beneficia de îndrumări speciale
dcs_rnd1_130|Mașina nu accelerează vânzările de case|Mașina nu accelerează vânzările de case
dcs_rnd1_131|După o săptămână de pauză, fostul antrenor principal Ștefan Apostol a revenit la echipă|După o săptămână de pauză, fostul antrenor principal Ștefan Apostol a revenit la echipă
dcs_rnd1_132|Tarife decente sunt oferite pentru revelion la mai multe pensiuni din Maramureș, Bucovina, Albac, Arieșeni, Azuga și Bușteni|Tarife decente sunt oferite pentru revelion la mai multe pensiuni din Maramureș, Bucovina, Albac, Arieșeni, Azuga și Bușteni
dcs_rnd1_133|Lovea birourile, a aruncat vreo trei scaune|Lovea birourile, a aruncat vreo trei scaune
dcs_rnd1_134|La Casa de Cultură a Studenților, poate fi urmărit, de la ora douăzeci și unu|La Casa de Cultură a Studenților, poate fi urmărit, de la ora douăzeci și unu
dcs_rnd1_135|În consecință, prima înfățișare va avea loc în luna octombrie|În consecință, prima înfățișare va avea loc în luna octombrie
dcs_rnd1_136|Acesta este prețul la care ajunge un echipament complet pentru o singură persoană|Acesta este prețul la care ajunge un echipament complet pentru o singură persoană
dcs_rnd1_137|În urma lui, a rămas o baltă de sânge pe caldarâm|În urma lui, a rămas o baltă de sânge pe caldarâm
dcs_rnd1_138|Pe lângă clienții fideli, locul de joacă are asigurată clientela din rândul părinților care își fac cumpărăturile în supermarket|Pe lângă clienții fideli, locul de joacă are asigurată clientela din rândul părinților care își fac cumpărăturile în supermarket
dcs_rnd1_139|De ce eu am scăpat, nu știu nici azi|De ce eu am scăpat, nu știu nici azi
dcs_rnd1_140|Lipsesc cincizeci de lei|Lipsesc cincizeci de lei
dcs_rnd1_141|Alții sunt însă mai pesimiști|Alții sunt însă mai pesimiști
dcs_rnd1_142|Unul care până în ultima clipă a vieții sale, s-a mândrit cu crimele comise|Unul care până în ultima clipă a vieții sale, s-a mândrit cu crimele comise
dcs_rnd1_143|Ion Buică s-a despărțit de soția lui în urmă cu doi ani|Ion Buică s-a despărțit de soția lui în urmă cu doi ani
dcs_rnd1_144|Am văzut și meciurile Stelei în Liga Campionilor|Am văzut și meciurile Stelei în Liga Campionilor
dcs_rnd1_145|De mâine vor proceda la fel și cei de la Judecătoria Slatina|De mâine vor proceda la fel și cei de la Judecătoria Slatina
dcs_rnd1_146|Manevra de redresare a mașinii a fost fatală|Manevra de redresare a mașinii a fost fatală
dcs_rnd1_147|Este o măsură corectă declară Bazac|Este o măsură corectă declară Bazac
dcs_rnd1_148|Bărbatul este cercetat penal de polițiștii din Ardud pentru lovire și alte violențe|Bărbatul este cercetat penal de polițiștii din Ardud pentru lovire și alte violențe
dcs_rnd1_149|Lumea deja m-a îngropat, spune dezamăgit Constantin|Lumea deja m-a îngropat, spune dezamăgit Constantin
dcs_rnd1_150|Asta le-am cerut fotbaliștilor mei pentru acest joc a spus Cristian Dulca|Asta le-am cerut fotbaliștilor mei pentru acest joc a spus Cristian Dulca
dcs_rnd1_151|Noi, deocamdată, am lansat o variantă|Noi, deocamdată, am lansat o variantă
dcs_rnd1_152|Nu este pregătit să aibă o relație durabilă, ar fi declarat un apropiat al pilotului|Nu este pregătit să aibă o relație durabilă, ar fi declarat un apropiat al pilotului
dcs_rnd1_153|Medicii, polițiștii și judecătorii respectă cu sfințenie dreptul persoanelor cu afecțiuni psihice de a se plimba printre noi|Medicii, polițiștii și judecătorii respectă cu sfințenie dreptul persoanelor cu afecțiuni psihice de a se plimba printre noi
dcs_rnd1_154|Acesta trecuse legal frontiera pe la Giurgiu|Acesta trecuse legal frontiera pe la Giurgiu
dcs_rnd1_155|Depinde de client|Depinde de client
dcs_rnd1_156|Mă descurc, n-am probleme, spune Valentin ușor îmbujorat|Mă descurc, n-am probleme, spune Valentin ușor îmbujorat
dcs_rnd1_157|Când ajungi în capătul scărilor, te întâmpină statuia străjer|Când ajungi în capătul scărilor, te întâmpină statuia străjer
dcs_rnd1_158|Banca de alimente reprezintă o soluție imediată de ajutorare a persoanelor fără venituri sau cu venituri foarte mici|Banca de alimente reprezintă o soluție imediată de ajutorare a persoanelor fără venituri sau cu venituri foarte mici
dcs_rnd1_159|Tatăl fetiței născută prematur și declarată moartă inițial, a declarat că nu există nicio schimbare în starea micuței|Tatăl fetiței născută prematur și declarată moartă inițial, a declarat că nu există nicio schimbare în starea micuței
dcs_rnd1_160|Avem în medie cam treizeci de spectacole pe an|Avem în medie cam treizeci de spectacole pe an
dcs_rnd1_161|Se pare că un rol important în declanșarea migrenelor îl are neuro-transmițătorul serotonină|Se pare că un rol important în declanșarea migrenelor îl are neuro-transmițătorul serotonină
dcs_rnd1_162|Micii meșteșugari din atelierele pentru reparat pantofi sunt afectați de apariția magazinelor cu produse la cinsprezece lei|Micii meșteșugari din atelierele pentru reparat pantofi sunt afectați de apariția magazinelor cu produse la cinsprezece lei
dcs_rnd1_163|Prin urmare, multe asociații au făcut adrese către primărie, cerând să fie scoase din program|Prin urmare, multe asociații au făcut adrese către primărie, cerând să fie scoase din program
dcs_rnd1_164|Nimănui, în afară de ea, nu-i pasă de mine|Nimănui, în afară de ea, nu-i pasă de mine
dcs_rnd1_165|Ea era tot timpul pe minge|Ea era tot timpul pe minge
dcs_rnd1_166|Atunci vânătorul și-a dat seama că este în fața unui record|Atunci vânătorul și-a dat seama că este în fața unui record
dcs_rnd1_167|O știre din îndepărtata Irlandă ar trebui și ea să ne dea serios de gândit|O știre din îndepărtata Irlandă ar trebui și ea să ne dea serios de gândit
dcs_rnd1_168|Procesul de negociere de până acum nu a fost ușor|Procesul de negociere de până acum nu a fost ușor
dcs_rnd1_169|În urma accidentului, tânărul a suferit leziuni multiple care au dus la moartea sa|În urma accidentului, tânărul a suferit leziuni multiple care au dus la moartea sa
dcs_rnd1_170|Am învățat să ne înțelegem și observ că facem progrese de la un spectacol la altul|Am învățat să ne înțelegem și observ că facem progrese de la un spectacol la altul
dcs_rnd1_171|Bergodi a făcut un gest urât, sfidător la adresa mea|Bergodi a făcut un gest urât, sfidător la adresa mea
dcs_rnd1_172|Cu cel mai bun scor din istorie, liberalii revin la guvernare, după unsprezece ani de opoziție|Cu cel mai bun scor din istorie, liberalii revin la guvernare, după unsprezece ani de opoziție
dcs_rnd1_173|Chiar în aceste condiții, Florin t|Chiar în aceste condiții, Florin t
dcs_rnd1_174|Cred că va fi imposibil ca acel scenariu să se mai repete și joi|Cred că va fi imposibil ca acel scenariu să se mai repete și joi
dcs_rnd1_175|De această dată au participat în jur de cincizeci de aniversați|De această dată au participat în jur de cincizeci de aniversați
dcs_rnd1_176|Acestea vor fi prezentate de Vasile Spiridon, Aurelia Goci, Radu Voinescu și Viorel Mortu|Acestea vor fi prezentate de Vasile Spiridon, Aurelia Goci, Radu Voinescu și Viorel Mortu
